S. No.,Registration No,Pharmacy Name,District,Pranali,Prescription Type,Wholesale/Retail
1,3.71121E+12,KANCHAN MEDICAL AND DIAGNOSTIC CENTER P LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2,3.71122E+12,MANABIYATA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
3,3.72023E+12,SURYAAMSHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
4,3.72023E+12,BESTBUY PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
5,3.72023E+12,Mahadol Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
6,3.7203E+12,Sunsari Aushadhi Pasal,Kathmandu,ALLOPATHY,"A,B,C",Retail
7,3.7203E+12,Emoretel Medi Sales,Kathmandu,ALLOPATHY,"A,B,C",Retail
8,3.7203E+12,Damoder Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
9,3.7203E+12,Lambagar Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
10,3.7203E+12,Liza Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
11,3.7203E+12,Guargian Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
12,3.7203E+12,NIMS GROUP PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
13,3.7203E+12,Khagendra Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
14,3.7203E+12,Sinistal Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
15,3.7203E+12,Mannat Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
16,3.7203E+12,Manabya Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
17,3.7203E+12,Navaratna Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
18,3.7203E+12,BIBIDH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
19,3.7203E+12,Lotan Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
20,3.7203E+12,Berican Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
21,3.7203E+12,Kisti Health Care And Medisales P Ltd,Kathmandu,ALLOPATHY,"A,B,C",Retail
22,3.7203E+12,Sumaya Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
